Marca,Modelo,Versión
AUDI,R8,COUPE 2PTAS 5.2L 10CIL 610HP STRONIC QUATTRO
AUDI,R8,COUPE 2PTS 4.2L 8CIL 430HP STRONIC QUATTRO
AUDI,R8,COUPE 2PTS 5.2L 10CIL 525HP MAN QUATTRO
AUDI,R8,COUPÉ 2PTS 5.2L 10CIL 525HP MAN QUATTRO
AUDI,R8,COUPE 2PTS 5.2L 10CIL 525HP STRONIC QUATTRO
AUDI,R8,COUPE 2PTS 5.2L 10CIL 550HP MAN QUATTRO
AUDI,R8,COUPE 2PTS 5.2L 10CIL 550HP STRONIC QUATTRO
AUDI,R8,SPYDER 2PTS 5.2L 10CIL 525HP MAN QUATTRO
AUDI,RS Q3,5PTAS 2.5L 5CIL 367HP STRONIC QUATTRO FSI TURBO
AUDI,RS5,2PTS 4.2L 8CIL 450HP STRONIC QUATTRO
AUDI,RS5,2PTS 4.2L 8CIL 450HP TIPTRONIC QUATTRO
AUDI,RS5,4X4 2PTS 4.2L 8CIL 450HP S TRONIC QUATTRO
AUDI,RS5,COUPE 2PTAS 4.2L 8CIL 450HP STRONIC QUATTRO
AUDI,RS5,COUPE 2PTS 4.2L 8CIL 450HP STRONIC QUATTRO
AUDI,RS6,AVANT 5PTS 5.0L 10CIL 580HP TIPTRONIC TURBO FSI QUATTRO
AUDI,RS6,SEDAN 4PTS 5.0L 10CIL 580HP TIPTRONIC TURBO FSI QUATTRO
AUDI,RS7,SPORTBACK 5PTAS 4.0L 8CIL 560HP TIP QUATTRO BITURBO
AUDI,RS7,SPORTBACK 5PTAS 4.0L 8CIL 605HP TIP QUATTRO BITURBO
AUDI,RS7,SPORTBACK 5PTS 4.0L 8CIL 560HP TIPTRONIC BITURBO QUATTRO
AUDI,RSQ3,5PTS 2.5L 5CIL 310HP STRONIC FSI TURBO QUATTRO
AUDI,S Q5,5PTAS 3.0L 6CIL 354HP TIP QUATTRO FSI TURBO
AUDI,S3,3PTAS 2.0L 4CIL 280HP STRONIC QUATTRO TURBO
AUDI,S3,3PTAS 2.0L 4CIL 285HP STRONIC QUATTRO TURBO
AUDI,S3,3PTS 2.0L 4CIL 255HP MAN TURBO QUATTRO
AUDI,S3,3PTS 2.0L 4CIL 255HP S TRONIC TURBO QUATTRO
AUDI,S3,3PTS 2.0L 4CIL 285HP STRONIC FSI TURBO QUATTRO
AUDI,S3,4X4 3/5PTS 2.0L 4CIL 255HP MAN QUATTRO TURBO
AUDI,S3,4X4 3/5PTS 2.0L 4CIL 255HP S TRONIC QUATTRO TURBO
AUDI,S3,SEDAN 4PTAS 2.0L4CIL 285HP STRONIC QUATTRO
AUDI,S3,SEDÁN 4PTS 2.0L 4CIL 280HP STRONIC FSI TURBO QUATTRO
AUDI,S3,SEDAN 4PTS 2.0L 4CIL 285HP STRONIC FSI TURBO QUATTRO
AUDI,S3,SEDAN 4PTS 2.0L 4CIL 285HP STRONIC QUATTRO TURBO
AUDI,S4,4PTS 3.0L 6CIL 333HP MAN TURBO QUATTRO
AUDI,S4,4PTS 3.0L 6CIL 333HP S TRONIC TURBO QUATTRO
AUDI,S4,4PTS 3.0L 6CIL 333HP STRONIC QUATTRO TURBO
AUDI,S4,4PTS 6CIL 3.0L 333HP STRONIC QUATTRO TURBO
AUDI,S4,4X4 4/5PTS 6CIL 3.0L 333HP MAN QUATTRO TURBO
AUDI,S4,4X4 4/5PTS 6CIL 3.0L 333HP S TRONIC QUATTRO TURBO
AUDI,S4,SEDAN 4PTAS 3.0L 6CIL 333HP STRONIC QUATTRO TURBO
AUDI,S4,SEDAN 4PTS 3.0L 6CIL 333HP STRONIC FSI TURBO QUATTRO
AUDI,S5,2PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO
AUDI,S5,2PTS 4.2L 8CIL 354HP MAN QUATTRO
AUDI,S5,2PTS 4.2L 8CIL 354HP TIPTRONIC QUATTRO
AUDI,S5,4X4 2PTS 4.2L 8CIL 354HP MAN QUATTRO
AUDI,S5,4X4 2PTS 4.2L 8CIL 354HP TIPTRONIC QUATTRO
AUDI,S5,COUPE 2PTS 3.0L 6CIL 333HP STRONIC FSI TURBO QUATTRO
AUDI,S5,COUPE 3PTAS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBP
AUDI,S5,SPORTBACK 5PTAS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO
AUDI,S5,SPORTBACK 5PTS 3.0L 6CIL 333HP STRONIC FSI TURBO QUATTRO
AUDI,S5,SPORTBACK 5PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO
AUDI,S6,4/5PTS 4.0L 8CIL 420HP STRONIC QUATTRO FSI BITURBO
AUDI,S6,4PTS 5.2L 10CIL 435HP TIPTRONIC FSI QUATTRO
AUDI,S6,SEDAN 4PTAS 4.0L 8CIL 450HP STRONIC QUATTRO FSI TURBO
AUDI,S6,SEDAN 4PTS 4.0L 8CIL 420HP STRONIC FSI BITURBO QUATTRO
AUDI,S7,5PTS 4.0L 8CIL 420HP STRONIC QUATTRO FSI BITURBO
AUDI,S7,SPORTBACK 5PTAS 4.0L 8CIL 450HP STRONIC QUATTRO FSI TURBO
AUDI,S7,SPORTBACK 5PTS 4.0L 8CIL 420HP STRONIC FSI BITURBO QUATTRO
AUDI,S8,4PTS 4.0L 8CIL 520HP TIPTRONIC QUATTRO FSI BITURBO
AUDI,S8,SEDAN 4PTAS 4.0L 8CIL 520HP TIP QUATTRO FSI TURBO
AUDI,S8,SEDAN 4PTAS 4.0L 8CIL 605HP TIP QUATTRO FSI TURBO
AUDI,S8,SEDAN 4PTS 4.0L 8CIL 520HP TIPTRONIC FSI BITURBO QUATTRO
AUDI,SQ5,5PTS 3.0L 6CIL 354HP TIPTRONIC FSI TURBO QUATTRO
AUDI,SQ5,5PTS 3.0L 6CIL 354HP TIPTRONIC QUATTRO FSI TURBO
AUDI,TT,COUPÉ 2PTS 1.8L 4CIL 160HP MAN FRONT TURBO
AUDI,TT,COUPÉ 2PTS 1.8L 4CIL 160HP MAN TURBO
AUDI,TT,COUPÉ 2PTS 1.8L 4CIL 160HP STRONIC FRONT TURBO
AUDI,TT,COUPÉ 2PTS 2.0L 4CIL 211HP S TRONIC FRONT TURBO
AUDI,TT,COUPÉ 2PTS 2.0L 4CIL 211HP S TRONIC TURBO
AUDI,TT,COUPÉ 2PTS 2.0L 4CIL 211HP STRONIC FRONT TURBO
AUDI,TT,COUPÉ 2PTS 2.5L 5CIL 340HP MAN QUATTRO FSI TURBO
AUDI,TT,COUPÉ 2PTS 2.5L 5CIL 340HP STRONIC QUATTRO FSI TURBO
AUDI,TT,COUPE 3PTAS 1.8L 4CIL 180HP STRONIC FRONT FSI TURBO
AUDI,TT,COUPE 3PTAS 2.0L 4CIL 230HP STRONIC QUATTRO FSI TURBO
AUDI,TT,COUPE 3PTAS 2.0L 4CIL 285HP STRONIC QUATTRO FSI TURBO
AUDI,TT,ROADSTER 2PTS 1.8L 4CIL 160HP STRONIC FRONT TURBO
AUDI,TT,ROADSTER 2PTS 2.0L 4CIL 211HP S TRONIC FRONT TURBO
AUDI,TT,ROADSTER 2PTS 2.0L 4CIL 211HP S TRONIC TURBO
AUDI,TT,ROADSTER 2PTS 2.0L 4CIL 211HP STRONIC FRONT TURBO
AUDI,TT,ROADSTER 2PTS 2.5L 5CIL 340HP MAN QUATTRO FSI TURBO
AUDI,TT,ROADSTER 2PTS 2.5L 5CIL 340HP STRONIC QUATTRO FSI TURBO
AUDI,TTRS,COUPÉ 4X4 2PTS 2.5L 5CIL 340HP MAN QUATTRO FSI TURBO
AUDI,TTRS,COUPÉ 4X4 2PTS 2.5L 5CIL 340HP S TRONIC QUATTRO FSI TURBO ROADSTER
AUDI,TTRS,ROADSTER 4X4 2PTS 2.5L 5CIL 340HP MAN QUATTRO FSI TURBO
AUDI,TTRS,ROADSTER 4X4 2PTS 2.5L 5CIL 340HP S TRONIC QUATTRO FSI TURBO
AUDI,TTS,COUPÉ 2PTS 2.0L 4CIL 272HP S TRONIC TURBO
AUDI,TTS,COUPÉ 2PTS 2.0L 4CIL 272HP STRONIC QUATTRO TURBO
AUDI,TTS,COUPÉ 4X4 2PTS 2.0L 4CIL 272HP S TRONIC FRONT FSI TURBO
AUDI,TTS,COUPÉ 4X4 2PTS 2.0L 4CIL 272HP S TRONIC FRONT TURBO
AUDI,TTS,ROADSTER 2PTS 2.0L 4CIL 272HP S TRONIC TURBO
AUDI,TTS,ROADSTER 2PTS 2.0L 4CIL 272HP STRONIC QUATTRO TURBO
BENTLEY,ARNAGE,R 4PTS 6.8L 8CIL 450HP TIP DOBLE TURBO
BENTLEY,ARNAGE,RL 4PTS 6.8L 8CIL 450HP TIP DOBLE TURBO
BENTLEY,ARNAGE,T 4PTS 6.8L 8CIL 500HP TIP DOBLE TURBO
BENTLEY,AZURE,2PTS 6.8L 8CIL 450HP TIP DOBLE TURBO
BENTLEY,BROOKLANDS 6.8 HP TIP Turba?,2PTS 6.8L 8CIL 450HP TIP TURBO
BENTLEY,CONTINENTAL,FLYING SPUR 4PTS 4.0L 8CIL 500HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,FLYING SPUR 4PTS 6.0L 12CIL 552HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,FLYING SPUR 4PTS 6.0L 12CIL 575HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,FLYING SPUR 4X4 4PTS 6.0L 12CIL 567HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,FLYING SPUR 4X4 4PTS 6.0L 12CIL 600HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,FLYING SPUR SPEED 4PTS 6.0L 12CIL 600HP TIP DOBLE TURBO
BENTLEY,CONTINENTAL,GT 2PTS 4.0L 8CIL 500HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,GT 2PTS 6.0L 12CIL 552HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,GT 2PTS 6.0L 12CIL 567HP ZF8 QUATTRO BITURBO
BENTLEY,CONTINENTAL,GT 2PTS 6.0L 12CIL 575HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,GT 2PTS 6.0L 12CIL 600HP TIP DOBLE TURBO
BENTLEY,CONTINENTAL,GT 3PTAS 6.0L 12CIL 582/626HP ZF8 QUATTRO TURBO
BENTLEY,CONTINENTAL,GT 4X4 2PTS 6.0L 12CIL 567HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,GT 4X4 2PTS 6.0L 12CIL 600HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,GT SPEED 3PTAS 6.0L 12CIL 582/626 HP ZF8 QUATTRO TURBO
BENTLEY,CONTINENTAL,GT SPEED 3PTAS 6.0L 12CIL 582/626HP ZF8 QUATTRO TURBO
BENTLEY,CONTINENTAL,GT V8S 3PTAS 4.0L 8CIL 520 HP ZF8 QUATTRO TURBO
BENTLEY,CONTINENTAL,GT6.0 3PTAS 12CIL 567/575/616/626 HP ZF8 QUATTRO TURBO
BENTLEY,CONTINENTAL,GT6.0 3PTAS 12CIL 567/575/616/626HP ZF8 QUATTRO TURBO
BENTLEY,CONTINENTAL,GTC 2PTS 4.0L 8CIL 500HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,GTC 2PTS 6.0L 12CIL 552HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,GTC 2PTS 6.0L 12CIL 575HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,GTC 4X4 2PTS 6.0L 12CIL 567HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,GTC 4X4 2PTS 6.0L 12CIL 600HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,GTC CABRIO 2 PTAS 6.0L 12CIL 567/575/616/626 HP ZF8 QUATTROTURBO
BENTLEY,CONTINENTAL,GTC CABRIO 2 PTS 6.0L 12CIL 567/575/616/626HP ZF8 QUATTROTURBO
BENTLEY,CONTINENTAL,SUPERSPORTS 2PTS 6.0L 12CIL 630HP TIP DOBLE TURBO QUATTRO
BENTLEY,CONTINENTAL,SUPERSPORTS 4X4 2PTS 6.0L 12CIL 620HP TIP DOBLE TURBO QUATTRO
BENTLEY,FLYING SPUR,4PTAS 6.0L 12CIL 616HP ZF8 QUATTRO TURBO
BENTLEY,FLYING SPUR,4PTS 6.0L 12CIL 625HP AUT (ZF) QUATTRO BITURBO
BENTLEY,FLYING SPUR,V8 4PTAS 4.0L 8CIL 500HP TIP QUATTRO TURBO
BENTLEY,MULSANNE,4PTAS 6.8L 6CIL 505 HP TIP TURBO
BENTLEY,MULSANNE,4PTAS 6.8L 6CIL 505HP TIP TURBO
BENTLEY,MULSANNE,4PTAS 6.8L 6CIL 512HP TIP DOBLE QUATTRO TURBO
BENTLEY,MULSANNE,4PTAS 6.8L 6CIL 530HP TIP TURBO
BENTLEY,MULSANNE,4PTS 6.8L 8CIL 505HP TIP DOBLE TURBO QUATTRO
BENTLEY,MULSANNE,4PTS 6.8L 8CIL 505HP TIP QUATTRO DOBLETURBO
BENTLEY,MULSANNE,4PTS 6.8L 8CIL 512HP AUT (ZF) DOBLE QUATTRO BITURBO
BMW,116iA,5PTS 1.6L 4CIL 136HP AUT TURBO
BMW,118i,3/5PTS 1.6L 4CIL 170HP MAN TURBO
BMW,118iA,3/5PTS 1.6L 4CIL 170HP AUT TURBO
BMW,118iA,5PTS 1.6L 4CIL 170HP AUT TURBO
BMW,120i,3/5PTS 1.6L 4CIL 177HP MAN
BMW,120i,3PTAS 2.0L 4CIL 184HP TURBO MAN
BMW,120i,3PTS 2.0L 4CIL 156HP MAN
BMW,120i,5PTS 2.0L 4CIL 156HP MAN
BMW,120iA,3/5PTAS 2.0L 4CIL 184HP TURBO AUT
BMW,120iA,3/5PTS 1.6L 4CIL 177HP AUT
BMW,120iA,3PTS 2.0L 4CIL 156HP AUT STRONIC
BMW,120iA,5PTS 2.0L 4CIL 156HP AUT STRONIC
BMW,125i,2PTS 3.0L 6CIL 218HP MAN
BMW,125i,COUPE 2PTS 3.0L 6CIL 218HP MAN
BMW,125iA,2PTS 3.0L 6CIL 218HP AUT STRONIC
BMW,125iA,COUPE 2PTS 3.0L 6CIL 218HP AUT
BMW,135i,2PTS 3.0L 6CIL 306HP MAN TURBO
BMW,135i,COUPE 2PTS 3.0L 6CIL 306HP MAN TURBO
BMW,135iA,2PTS 3.0L 6CIL 306HP AUT
BMW,135iA,COUPE 2PTS 3.0L 6CIL 306HP AUT
BMW,135iA,COUPE 2PTS 3.0L 6CIL 306HP AUT TURBO
BMW,218iA,ACTIVE TOURER 5PTS 1.5L 3CIL 1136HP AUT TURBO
BMW,220iA,ACTIVE TOURER 5PTAS 2.0L 4CIL 192HP TURBO AUT
BMW,220iA,ACTIVE TOURER 5PTS 2.0L 4CIL 192HP AUT
BMW,220iA,COUPE 2PTAS 2.0L 4CIL 184HP TURBO AUT
BMW,220iA,COUPE 2PTS 2.0L 4CIL 184HP AUT TURBO
BMW,220iA,GRAN TOURER 5PTAS 2.0L 4CIL 192HP AUT TURBO
BMW,318iA,SEDAN 4PTAS 1.5L 3CIL 136HP TURBO AUT
BMW,320iA,SEDAN 4PTAS 2.0L 4CIL 184HP BITURBO AUT
BMW,320iA,SEDAN 4PTS 2.0L 4CIL 184HP AUT BITURBO
BMW,320iA,SEDAN 4PTS 2.0L 4CIL 184HP AUT TURBO
BMW,325i,CABRIO 2PTS 2.5L 6CIL 218HP MAN
BMW,325i,CONVERTIBLE 2PTS 2.5L 6CIL 218HP MAN
BMW,325i,COUPE 2PTS 2.5L 6CIL 218HP MAN
BMW,325i,COUPÉ 2PTS 2.5L 6CIL 218HP MAN
BMW,325i,SEDAN 4PTS 2.5L 6CIL 218HP MAN
BMW,325iA,CABRIO 2PTS 2.5L 6CIL 218HP AUT
BMW,325iA,CABRIO 2PTS 2.5L 6CIL 218HP AUT STRONIC
BMW,325iA,CONVERTIBLE 2PTS 2.5L 6CIL 218HP AUT
BMW,325iA,COUPE 2PTS 2.5L 6CIL 218HP AUT
BMW,325iA,COUPÉ 2PTS 2.5L 6CIL 218HP AUT
BMW,325iA,COUPE 2PTS 2.5L 6CIL 218HP AUT MULTITRONIC
BMW,325iA,SEDAN 4PTS 2.5L 6CIL 218HP AUT
BMW,325iA,SEDAN 4PTS 2.5L 6CIL 218HP AUT STRONIC
BMW,328i,SEDAN 4PTS 2.0L 4CIL 245HP MAN TURBO
BMW,328iA,SEDAN 4PTS 2.0L 4CIL 245HP AUT TURBO
BMW,330iA,SEDAN 4PTAS 2.0L 4CIL 252HP AUT TURBO
BMW,330iA,SEDAN 4PTAS 2.0L 4CIL 252HP BITURBO AUT
BMW,335i,CONVERTIBLE 2PTS 3.0L 6CIL 306HP MAN TURBO
BMW,335i,COUPÉ 2PTS 3.0L 6CIL 306HP MAN TURBO
BMW,335i,SEDAN 4PTS 3.0 6CIL 306HP MAN TURBO
BMW,335i,SEDAN M SPORT 4PTS 3.0L 6CIL 306HP MAN TURBO
BMW,335iA,ACTIVE HYBRID 4PTS 3.0L 6CIL 306(+34)HP AUT TURBO
BMW,335iA,CABRIO 2PTS 3.0L 6C IL 306HP AUT STRONIC TURBO
BMW,335iA,CONVERTIBLE 2PTS 3.0L 6CIL 306HP AUT TURBO
BMW,335iA,CONVERTIBLE 2PTS 3.0L 6CIL AUT TURBO
BMW,335iA,COUPÉ 2PTS 3.0 6CIL 306HP AUT TURBO
BMW,335iA,COUPE 2PTS 3.0L 6CIL 306HP AUT STRONIC TURBO
BMW,335iA,COUPE 2PTS 3.0L 6CIL 306HP AUT TURBO
BMW,335iA,SEDAN 4PTS 3.0L 6CIL 306HP AUT STRONIC TURBO
BMW,335iA,SEDAN 4PTS 3.0L 6CIL 306HP AUT TURBO
BMW,335iA,SEDAN M SPORT 4PTS 3.0L 6CIL 306HP AUT TURBO
BMW,340iA,M SEDAN 4PTAS 3.0L 6CIL 326HP AUT TURBO
BMW,340iA,SEDAN 4PTAS 3.0L 6CIL 326HP TURBO AUT
BMW,420iA,COUPE 2PTAS 2.0L 4CIL 184HP TURBO AUT
BMW,420iA,COUPE 2PTS 2.0L 4CIL 184HP AUT TURBO
BMW,420iA,COUPE 4PTAS 2.0L 4CIL 184HP TURBO AUT
BMW,428iA,CONVERTIBLE 2PTS 2.0L 4CIL 245HP AUT TURBO
BMW,428iA,COUPE 2PTS 2.0L 4CIL 245HP AUT TURBO
BMW,428iA,GRAN COUPE 4PTS 2.0L 4CIL 245HP AUT TURBO
BMW,430iA,CONVERTIBLE 2PTAS 2.0L 4CIL 252HP TURBO AUT
BMW,430iA,COUPE 2PTAS 2.0L 4CIL 252HP TURBO AUT
BMW,430iA,COUPE 4PTAS 2.0L 4CIL 252HP TURBO AUT
BMW,435iA,CONVERTIBLE 2PTS 3.0L 6CIL 306HP AUT TURBO
BMW,435iA,COUPE 2PTS 3.0L 6CIL 306HP AUT TURBO
BMW,435iA,GRAN COUPE 4PTS 3.0L 6CIL 306HP AUT BITURBO
BMW,440iA,CONVERTIBLE 2PTAS 3.0L 6CIL 326HP TURBO AUT
BMW,440iA,COUPE 2PTAS 3.0L 6CIL 326HP TURBO AUT
BMW,440iA,COUPE 4PTAS 3.0L 6CIL 326HP TURBO AUT
BMW,520iA,SEDAN 4PTS 2.0L 4CIL 184HP AUT TURBO
BMW,528iA,4PTS 3.0L 6CIL 258HP AUT STRONIC
BMW,528iA,SEDAN 4PTS 2.0L 4CIL 245HP AUT TURBO
BMW,528iA,SEDAN 4PTS 3.0L 6CIL 258HP AUT
BMW,530iA,SEDAN 4PTS 3.0L 6CIL 258HP AUT
BMW,535i,4PTS 3.0L 6CIL 306HP MAN
BMW,535i,GRAN TURISMO 4PTS 3.0L 6CIL 306HP MAN
BMW,535i,SEDAN 4PTS 3.0L 6CIL 306HP MAN TURBO
BMW,535iA,4PTS 3.0L 6CIL 306HP AUT STRONIC
BMW,535iA,ACTIVE HIBRIDO 4PTAS 3.0L 6CIL 306(+34)HP AUT TURBO
BMW,535iA,GRAN TURISMO 4PTS 3.0L 6CIL 306HP AUT TURBO
BMW,535iA,SEDAN 4PTS 3.0L 6CIL 306HP AUT TURBO
BMW,550i,GRAN TURISMO 4PTS 4.4L 8CIL 407HP MAN
BMW,550i,SEDAN 4PTS 4.4L 8CIL 407HP AUT BITURBO
BMW,550iA,4PTS 4.4L 8CIL 407HP AUT STRONIC
BMW,550iA,GRAN TURISMO 4PTS 4.4L 8CIL 407HP AUT BITURBO
BMW,550iA,SEDAN 4PTS 4.4L 8CIL 407HP AUT BITURBO
BMW,550iA,SEDAN 4PTS 4.4L 8CIL 449HP AUT BITURBO
BMW,640iA,GRAN COUPE 4PTS 3.0L 6CIL 320HP AUT
BMW,650i,CONV 2PTS 4.8L 8CIL 367HP AUT STRONIC
BMW,650i,COUPE 2PTS 4.8L 8CIL 367HP AUT STRONIC
BMW,650iA,CONVERTIBLE 2PTS 4.4L 8CIL 407HP AUT BITURBO
BMW,650iA,CONVERTIBLE 2PTS 4.4L 8CIL 449HP AUT BITURBO
BMW,650iA,COUPE 2PTAS 4.4L 8CIL 450HP BITURBO AUT
BMW,650iA,COUPÉ 2PTS 4.4L 8CIL 407HP AUT BITURBO
BMW,650iA,COUPE 2PTS 4.4L 8CIL 449HP AUT BITURBO
BMW,650iA,COUPE 2PTS 4.4L 8CIL 450HP AUT BITURBO
BMW,650iA,COUPE 4PTAS 4.4L 8CIL 450HP BITURBO AUT
BMW,650iA,GRAN COUPE 2PTS 4.4L 8CIL 449HP AUT BITURBO
BMW,650iA,GRAN COUPE 4PTS 4.4L 8CIL 450HP AUT BITURBO
BMW,740i,4PTS 3.0L 6CIL 326HP AUT STRONIC
BMW,740iA,SEDAN 4PTAS 3.0L 6CIL 326HP AUT TURBO
BMW,740iA,SEDAN 4PTAS 3.0L 6CIL 326HP TURBO AUT
BMW,740iA,SEDAN 4PTS 3.0L 6CIL 320HP AUT TURBO
BMW,740iA,SEDAN 4PTS 3.0L6CIL 326HP AUT BITURBO
BMW,740LiA,SEDAN 4PTAS 3.0L 6CIL 326HP AUT TURBO
BMW,750i,4PTS 4.4L 8CIL 407HP AUT STRONIC
BMW,750iA,SEDAN 4PTAS 4.4L 8CIL 449HP BITURBO AUT
BMW,750iA,SEDAN 4PTAS 4.4L 8CIL. 449HP AUT BITURBO
BMW,750iA,SEDAN 4PTS 4.4L 8CIL 407HP AUT BITURBO
BMW,750iA,SEDAN 4PTS 4.4L 8CIL 449HP AUT BITURBO
BMW,750Li,4PTS 4.4L 8CIL 407HP AUT STRONIC
BMW,750LiA,4PTS 4.4L 8CIL 450HP AUT BITURBO
BMW,750LiA,SEDAN 4PTAS 4.4L 8CIL 450HP BITURBO AUT
BMW,750LiA,SEDAN 4PTS 4.4L 8CIL 407HP AUT BITURBO
BMW,750LiA,SEDAN 4PTS 4.4L 8CIL 449HP AUT BITURBO
BMW,760Li,4PTS 6.0L 12CIL 544HP AUT STRONIC
BMW,760LiA,SEDAN 4PTS 6.0L 12CIL 544HP AUT BITURBO
BMW,i8,COUPE HIBRIDO 4X4 2PTAS 1.5L 3CIL 231HP TURBO
BMW,M135iA,3/5PTS 3.0L 6CIL 320HP AUT TURBO
BMW,M135iA,3PTS 3.0L 6CIL 320HP AUT TURBO
BMW,M135iA,5PTS 3.0L 6CIL 326HP AUT TURBO
BMW,M140iA,3PTAS 3.0L 6CIL 340HP TURBO AUT
BMW,M2,COUPE 2PTAS 3.0L 6CIL 370HP TURBO AUT
BMW,M2,COUPE 2PTAS 3.0L 6CIL 370HP TURBO MAN
BMW,M2,COUPE 2PTS 3.0L 6CIL 370HP AUT BITURBO
BMW,M235iA,COUPE 2PTS 3.0L 6CIL 326HP AUT TURBO
BMW,M240iA,COUPE 2PTAS 3.0L 6CIL 340HP TURBO AUT
BMW,M3,CONV 2PTS 4.0L 8CIL 420HP DKG
BMW,M3,CONV 2PTS 4.0L 8CIL 420HP MAN
BMW,M3,CONVERTIBLE 2PTS 4.0L 8CIL 420HP AUT
BMW,M3,CONVERTIBLE 2PTS 4.0L 8CIL 420HP MAN
BMW,M3,COUPE 2PTS 4.0L 8CIL 420HP AUT
BMW,M3,COUPÉ 2PTS 4.0L 8CIL 420HP AUT
BMW,M3,COUPE 2PTS 4.0L 8CIL 420HP DKG
BMW,M3,COUPE 2PTS 4.0L 8CIL 420HP MAN
BMW,M3,COUPÉ 2PTS 4.0L 8CIL 420HP MAN
BMW,M3,SEDAN 2PTS 4.0L 8CIL 420HP MAN
BMW,M3,SEDAN 4PTAS 3.0L 6CIL 431HP TURBO AUT
BMW,M3,SEDAN 4PTAS 3.0L 6CIL 431HP TURBO MAN
BMW,M3,SEDAN 4PTS 3.0L 6CIL 431HP AUT TURBO
BMW,M3,SEDAN 4PTS 3.0L 6CIL 431HP MAN BITURBO
BMW,M3,SEDAN 4PTS 4.0 8CIL 420HP DKG
BMW,M3,SEDAN 4PTS 4.0 8CIL 420HP MAN
BMW,M3,SEDAN 4PTS 4.0L 8CIL 420HP AUT
BMW,M4,CONVERTIBLE 2PTAS 3.0L 6CIL 431HP AUT TURBO
BMW,M4,CONVERTIBLE 2PTAS 3.0L 6CIL 431HP TURBO AUT
BMW,M4,CONVERTIBLE 2PTAS 3.0L 6CIL 431HP TURBO MAN
BMW,M4,CONVERTIBLE 2PTS 3.0L 6CIL 431HP MAN BITURBO
BMW,M4,COUPE 2PTAS 3.0L 6CIL 431HP TURBO AUT
BMW,M4,COUPE 2PTAS 3.0L 6CIL 431HP TURBO MAN
BMW,M4,COUPE 2PTS 3.0L 6CIL 431HP AUT BITURBO
BMW,M4,COUPE 2PTS 3.0L 6CIL 431HP NAN BITURBO
BMW,M4,GTS 2PTAS 3.0L 6CIL 500HP BITURBO AUT
BMW,M5,SEDAN 4PTS 4.4L 8CIL 560HP AUT BITURBO
BMW,M5,SEDAN 4PTS 4.4L 8CIL 560HP AUT TURBO
BMW,M6,CONVERTIBLE 2PTS 4.4L 8CIL 560HP AUT BITURBO
BMW,M6,COUPE 2PTAS 4.4L 8CIL 560HP BITURBO AUT
BMW,M6,COUPE 2PTS 4.4L 8CIL 560HP AUT BITURBO
BMW,M6,COUPE 4PTAS 4.4L 8CIL 560HP BITURBO AUT
BMW,M6,GRAN COUPE 4PTS 4.4L 8CIL 560HP AUT BITURBO
BMW,X1,sDRIVE 18iA 5PTAS 1.5L 3CIL 136HP TURBO AUT
BMW,X1,sDRIVE 20iA 4X4 5PTAS 2.0L 4CIL 192HP TURBO AUT
BMW,X1,sDrive 20iA 5PTAS 2.0L 4CIL 192HP AUT TURBO
BMW,X1,sDrive 20iA 5PTS 2.0L 4CIL 184HP AUT TURBO
BMW,X1,sDRIVE20iA 5PTS 2.0L 4CIL 184HP AUT TURBO
BMW,X1,xDRIVE 20iA 4X4 5PTAS 2.0L 4CIL 192HP TURBO AUT
BMW,X1,xDRIVE 25iA 4X4 5PTAS 2.0L 4CIL 231HP TURBO AUT
BMW,X1,xDRIVE 25iA 5PTS 3.0L 6CIL 218HP AUT STEPTRONIC
BMW,X1,xDrive 25iA 5PTS 3.0L 6CIL 258HP AUT
BMW,X1,xDrive 28iA 5PTS 2.0L 4CIL 245HP AUT TURBO
BMW,X1,xDRIVE 28iA 5PTS 3.0L 6CIL 258HP AUT STEPTRONIC
BMW,X1,xDRIVE28iA 5PTS 2.0L 4CIL 245HP AUT TURBO
BMW,X3,sDRIVE 20iA 4X4 5PTAS 2.0L 4CIL 184HP TURBO AUT
